(1,37)
(57,77)
(89,177)
(189,291)
(313,337)
(357,375)
(397,423)
(471,500)
(514,549)
(569,584)
(604,612)
(632,679)
(702,715)
(729,740)
(748,789)
(843,958)
(966,1066)
(1080,1148)
(1159,1165)
(1175,1336)
(1354,1431)
(1438,1484)
(1497,1521)
(1543,1552)
(1573,1593)
(1599,1660)
(1680,1708)
(1719,1758)
(1794,1866)
(1876,1913)
(1930,1956)
(1977,1999)
(2006,2041)
(2070,2091)
(2134,2137)
(2159,2196)
(2218,2290)
(2308,2322)
(2370,2380)
(2407,2432)
(2442,2458)
(2480,2567)
(2588,2614)
(2660,2700)
(2727,2740)
(2779,2783)
(2838,2859)
(2868,2914)
(2923,2945)
(2963,2988)
(3075,3091)
(3112,3120)
(3138,3151)
(3166,3267)
(3273,3282)
(3357,3452)
(3460,3495)
(3502,3563)
(3576,3596)
(3624,3749)
(3757,3764)
(3799,3877)
(3894,4009)
(4024,4093)
(4105,4162)
(4177,4200)
(4210,4223)
(4239,4272)
(4457,4480)
(4491,4519)
(4557,4576)
(4594,4674)
(4684,4699)
(4706,4751)
(4760,4795)
(4802,4831)
(4889,4941)
(4946,4983)
(5020,5023)
(5062,5075)
(5104,5108)
(5125,5171)
(5189,5342)
(5349,5378)
(5392,5408)
(5439,5455)
(5464,5543)
(5551,5576)
(5601,5673)
(5686,5695)
(5709,5723)
(5731,5744)
(5782,5784)
(5797,5827)
(5842,5882)
(5911,5929)
(5949,5980)
(6000,6004)
(6012,6025)
(6043,6066)
(6079,6093)
(6126,6147)
(6154,6163)
(6183,6191)
(6210,6301)
(6309,6332)
(6352,6369)
(6403,6409)
(6423,6439)
(6447,6464)
(6478,6520)
(6534,6598)
(6619,6656)
(6664,6701)
(6720,6727)
(6757,6784)
(6802,6823)
(6852,6908)
(6936,6947)
(6964,7007)
(7015,7106)
(7114,7195)
(7221,7282)
(7311,7358)
(7389,7497)
(7510,7522)
(7529,7552)
(7561,7614)
(7624,7684)
(7715,7781)
(7786,7862)
(7897,7981)
(8026,8059)
(8071,8148)
(8167,8306)
(8340,8348)
(8359,8405)
(8431,8467)
(8479,8489)
(8534,8597)
(8607,8654)
(8661,8662)
(8725,8751)
(8788,8814)
(8826,8853)
(8863,8898)
(8911,8942)
(8958,9046)
(9073,9099)
(9108,9123)
(9137,9169)
(9175,9193)
(9209,9297)
(9327,9359)
(9421,9452)
(9462,9502)
(9523,9599)
(9616,9645)
(9658,9676)
(9691,9736)
(9774,9833)
(9872,9884)
(9915,9949)
(9958,9972)
(10000,10002)
(10018,10133)
(10157,10163)
(10193,10207)
(10215,10239)
(10265,10294)
(10315,10323)
(10354,10357)
(10384,10387)
(10400,10496)
(10554,10577)
(10618,10660)
(10687,10717)
(10732,10782)
(10793,10819)
(10830,10842)
(10857,10873)
(10882,10904)
(10922,10935)
(10970,11723)
(11730,11864)
(11872,11882)
(11889,12122)
(12129,12224)
(12236,12259)
(12338,12345)
(12355,12377)
(12389,12425)
(12445,12453)
(12498,12517)
(12538,12544)
(12559,12583)
(12600,12693)
(12724,12848)
(12859,12937)
(12985,12993)
(13002,13117)
(13128,13154)
(13174,13248)
(13260,13389)
(13405,13498)
(13510,13573)
(13582,13729)
(13744,13891)
(13939,13991)
(14008,14155)
(14248,14293)
(14302,14373)
(14394,14407)
(14418,14432)
(14458,14482)
(14496,14586)
(14616,14671)
(14680,14693)
(14706,14718)
(14728,14750)
(14759,14857)
(14874,14885)
(14922,14941)
(14956,14963)
(14973,15082)
(15094,15192)
(15217,15241)
(15264,15322)
(15334,15347)
(15387,15399)
(15426,15440)
(15488,15523)
(15544,15560)
(15628,15640)
(15685,15687)
(15712,15894)
(15911,15936)
(15953,15984)
(16005,16050)
(16066,16130)
(16138,16198)
(16210,16238)
(16259,16324)
(16354,16359)
(16383,16390)
(16400,16416)
(16423,16436)
(16470,16473)
(16548,16577)
(16597,16611)
(16660,16700)
(16722,16733)
(16744,16798)
(16803,16950)
(16958,16986)
(16993,17103)
(17143,17157)
(17177,17212)
(17228,17313)
(17320,17357)
(17370,17449)
(17470,17497)
(17505,17530)
(17540,17577)
(17614,17632)
(17694,17785)
(17808,17883)
(17890,17972)
(18001,18079)
(18088,18100)
(18142,18147)
(18165,18172)
(18187,18210)
(18259,18284)
(18291,18316)
(18322,18327)
(18336,18420)
(18441,18441)
(18451,18517)
(18538,18568)
(18573,18627)
(18672,18730)
(18748,18790)
(18798,18849)
(18859,18891)
(18897,18953)
(18964,19000)
(19023,19137)
(19142,19169)
(19178,19821)
(19843,19894)
(19903,20256)
(20287,20336)
(20356,20379)
(20389,20422)
(20428,20508)
(20514,20576)
(20581,20601)
(20658,20700)
(20710,20728)
(20803,20808)
(20850,20862)
(20880,20891)
(20900,20944)
(20952,20968)
(21024,21066)
(21076,21094)
(21109,21137)
(21154,21207)
(21214,21263)
(21273,21294)
(21327,21331)
(21341,22191)
(22225,22231)
(22246,22343)
(22359,22447)
(22468,22513)
(22524,22571)
(22585,22591)
(22608,22616)
(22627,22642)
(22666,22728)
(22822,22897)
(22911,22917)
(22949,22991)
(23003,23022)
(23053,23169)
(23175,23195)
(23209,23235)
(23265,23272)
(23289,23293)
(23332,23341)
(23365,23367)
(23393,23431)
(23479,23487)
(23496,23544)
(23556,23570)
(23604,23617)
(23626,23786)
(23812,23904)
(23911,24080)
(24091,24111)
(24123,24140)
(24169,24193)
(24214,24560)
(24592,24651)
(24669,24704)
(24729,24739)
(24744,24790)
(24801,24977)
(24988,25273)
(25297,25302)
(25321,25446)
(25463,25514)
(25521,25643)
(25652,25757)
(25779,25788)
(25840,25845)
(25866,25911)
(25917,25968)
(26054,26088)
(26113,26136)
(26157,26165)
(26176,26205)
(26246,26282)
(26301,26306)
(26358,26361)
(26388,26509)
(26546,26596)
(26622,26643)
(26653,26722)
(26747,26963)
(26985,27102)
(27111,27293)
(27339,27401)
(27411,27479)
(27487,27571)
(27586,27618)
(27628,28557)
(28567,28618)
(28632,28782)
(28827,28846)
(28881,28885)
(28896,29227)
(29254,29388)
(29395,29429)
(29440,29465)
(29482,29531)
(29545,29647)
(29655,29682)
(29694,30847)
(30864,30932)
(30947,31048)
(31056,31109)
(31119,31133)
(31153,31195)
(31239,31269)
(31285,31297)
(31320,31373)
(31413,31417)
(31443,31464)
(31485,31514)
(31537,31539)
(31569,31621)
(31635,31661)
(31720,31760)
(31791,31855)
(31871,31892)
(31909,31981)
(31990,31999)
(32034,32068)
(32075,32089)
(32109,32118)
(32130,32143)
(32158,32201)
(32217,32220)
(32227,32267)
(32283,32298)
(32320,32328)
(32346,32404)
(32419,32459)
(32472,32508)
